[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.share.animatedview.AnimatedView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PlayTimeControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.AdGroupControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PlayPauseControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.SeekBarControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.SkippableAdControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.SeekBarControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PlayPauseControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PlayTimeControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.FullscreenToggleControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.ClosedCaptionsControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.MultiAudioControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.VideoQualityControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PlayerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.VideoSurfaceLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.SubtitleView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PosterControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.PlayOrbControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.LoadingControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.ErrorHandlingView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.MuteControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.verizondigitalmedia.mobile.client.android.player.ui.LiveBadgeControlView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.chart.indicators.InputEditText
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.chart.indicators.InputEditText
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.chart.indicators.InputEditText
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.canvass.widget.carousel.ui.view.views.Carousel
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.core.app.util.view.SparkLineView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.home.view.MarketHeaderRecyclerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.view.widget.PageViewsLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.view.widget.PriceEditText
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.chart.nativo.NativeChartView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.finance.core.app.util.view.SparkLineView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.robinhood.ticker.TickerView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.yahoo.mobile.client.android.yvideosdk.ui.presentation.AspectRatioFrameLayout
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.oath.mobile.platform.phoenix.core.SingleLineTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.oath.mobile.platform.phoenix.core.SingleLineTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.oath.mobile.platform.phoenix.core.SingleLineTextView
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class android.widget.Space
[main] WARN soot.jimple.infoflow.android.resources.LayoutFileParser - Could not find layout class com.google.android.material.datepicker.MaterialCalendarGridView
